layer,L2,MAE,cosine_sim,min_a,min_b,max_a,max_b
model.layers.20.mlp.gate_proj.scales,1.43359375,0.003265380859375,0.98388671875,0.00469970703125,0.006900787353515625,0.08642578125,0.10101318359375
model.layers.20.mlp.up_proj.scales,4.25390625,0.0124969482421875,0.98681640625,0.0050048828125,0.006771087646484375,0.06494140625,0.0953369140625
model.layers.20.self_attn.k_proj.scales,0.1947021484375,0.0022258758544921875,0.958984375,0.0026397705078125,0.00244140625,0.035400390625,0.07122802734375
model.layers.20.self_attn.o_proj.scales,0.306396484375,0.0017461776733398438,0.99560546875,0.004913330078125,0.004688262939453125,0.1171875,0.11798095703125
model.layers.20.self_attn.q_proj.scales,0.29638671875,0.00183868408203125,0.97998046875,0.00286865234375,0.0028476715087890625,0.034912109375,0.043548583984375
model.layers.20.self_attn.v_proj.scales,0.419677734375,0.006610870361328125,0.96240234375,0.004364013671875,0.0077972412109375,0.032470703125,0.037384033203125
model.layers.21.mlp.down_proj.scales,1.30859375,0.0037517547607421875,0.99072265625,0.004608154296875,0.0035648345947265625,0.109375,0.11968994140625
model.layers.21.mlp.gate_proj.scales,0.80517578125,0.0016460418701171875,0.9873046875,0.0036773681640625,0.004932403564453125,0.07275390625,0.08282470703125
model.layers.21.mlp.up_proj.scales,3.068359375,0.0088043212890625,0.9853515625,0.0048828125,0.0048828125,0.048095703125,0.0958251953125
model.layers.21.self_attn.k_proj.scales,0.1561279296875,0.0021800994873046875,0.9697265625,0.0030670166015625,0.0023365020751953125,0.0296630859375,0.044219970703125
model.layers.21.self_attn.o_proj.scales,0.591796875,0.0036773681640625,0.98828125,0.003875732421875,0.00498199462890625,0.07373046875,0.06640625
model.layers.21.self_attn.q_proj.scales,0.329833984375,0.0020923614501953125,0.97705078125,0.0023040771484375,0.002620697021484375,0.035400390625,0.051422119140625
model.layers.21.self_attn.v_proj.scales,0.296142578125,0.004199981689453125,0.939453125,0.0019073486328125,0.004638671875,0.028076171875,0.0294342041015625
model.layers.22.mlp.down_proj.scales,1.564453125,0.004558563232421875,0.9912109375,0.00457763671875,0.002750396728515625,0.1435546875,0.1666259765625
model.layers.22.mlp.gate_proj.scales,0.8779296875,0.00238037109375,0.990234375,0.0036468505859375,0.003734588623046875,0.0927734375,0.073974609375
model.layers.22.mlp.up_proj.scales,2.716796875,0.007686614990234375,0.984375,0.002960205078125,0.0030918121337890625,0.0654296875,0.08062744140625
model.layers.22.self_attn.k_proj.scales,0.255615234375,0.0027618408203125,0.9599609375,0.0022735595703125,0.0025463104248046875,0.034912109375,0.0606689453125
model.layers.22.self_attn.o_proj.scales,0.284912109375,0.0015630722045898438,0.994140625,0.005706787109375,0.00527191162109375,0.10498046875,0.08331298828125
model.layers.22.self_attn.q_proj.scales,0.31884765625,0.0014772415161132812,0.98095703125,0.001922607421875,0.0023517608642578125,0.032470703125,0.04412841796875
model.layers.22.self_attn.v_proj.scales,0.73583984375,0.0100250244140625,0.8896484375,0.002899169921875,0.007358551025390625,0.031982421875,0.06640625
model.layers.23.mlp.down_proj.scales,1.853515625,0.005435943603515625,0.98876953125,0.004119873046875,0.002208709716796875,0.11962890625,0.1619873046875
model.layers.23.mlp.gate_proj.scales,1.220703125,0.002567291259765625,0.98388671875,0.0042724609375,0.0058441162109375,0.0654296875,0.0760498046875
model.layers.23.mlp.up_proj.scales,6.16015625,0.01806640625,0.98193359375,0.005340576171875,0.00439453125,0.03955078125,0.11590576171875
model.layers.23.self_attn.k_proj.scales,0.2108154296875,0.0022068023681640625,0.95849609375,0.0024261474609375,0.002490997314453125,0.0299072265625,0.0430908203125
model.layers.23.self_attn.o_proj.scales,0.720703125,0.004344940185546875,0.982421875,0.004058837890625,0.005664825439453125,0.1083984375,0.081787109375
model.layers.23.self_attn.q_proj.scales,0.2509765625,0.0012149810791015625,0.982421875,0.00144195556640625,0.00152587890625,0.04931640625,0.04180908203125
model.layers.23.self_attn.v_proj.scales,0.80126953125,0.0112152099609375,0.84375,0.0017242431640625,0.0038089752197265625,0.02880859375,0.060028076171875
model.layers.24.mlp.down_proj.scales,1.8056640625,0.005298614501953125,0.990234375,0.0033721923828125,0.002246856689453125,0.09423828125,0.1424560546875
model.layers.24.mlp.gate_proj.scales,1.23828125,0.0024261474609375,0.978515625,0.004974365234375,0.00719451904296875,0.0751953125,0.0771484375
model.layers.24.mlp.up_proj.scales,5.171875,0.0152130126953125,0.98486328125,0.0045166015625,0.004718780517578125,0.041259765625,0.1131591796875
model.layers.24.self_attn.k_proj.scales,0.1964111328125,0.00215911865234375,0.966796875,0.0026092529296875,0.0026035308837890625,0.026611328125,0.047454833984375
model.layers.24.self_attn.o_proj.scales,0.76806640625,0.004802703857421875,0.98046875,0.0037078857421875,0.004314422607421875,0.08154296875,0.07098388671875
model.layers.24.self_attn.q_proj.scales,0.33203125,0.0015811920166015625,0.97998046875,0.0023040771484375,0.0030918121337890625,0.03271484375,0.05950927734375
model.layers.24.self_attn.v_proj.scales,1.078125,0.014617919921875,0.93408203125,0.00433349609375,0.00527191162109375,0.035888671875,0.086181640625
model.layers.25.mlp.down_proj.scales,2.091796875,0.006137847900390625,0.98828125,0.0034027099609375,0.0019044876098632812,0.09912109375,0.141845703125
model.layers.25.mlp.gate_proj.scales,1.0146484375,0.0020427703857421875,0.98291015625,0.004669189453125,0.006870269775390625,0.06298828125,0.0650634765625
model.layers.25.mlp.up_proj.scales,6.43359375,0.01904296875,0.98583984375,0.004302978515625,0.00402069091796875,0.054931640625,0.1588134765625
model.layers.25.self_attn.k_proj.scales,0.1466064453125,0.002105712890625,0.97119140625,0.00421142578125,0.00279998779296875,0.026611328125,0.040374755859375
model.layers.25.self_attn.o_proj.scales,0.78955078125,0.00469207763671875,0.96728515625,0.005279541015625,0.00649261474609375,0.12890625,0.1112060546875
model.layers.25.self_attn.q_proj.scales,0.302001953125,0.0017328262329101562,0.978515625,0.00238037109375,0.0029621124267578125,0.026611328125,0.039093017578125
model.layers.25.self_attn.v_proj.scales,0.9736328125,0.016326904296875,0.98388671875,0.006134033203125,0.0082855224609375,0.043701171875,0.078125
